"A","B","C","D","E","F","G","H","I"
0,20,15,26,47,30,38,47,83
27,16,20,35,41,21,25,81,66
10,3,13,21,26,19,31,114,74
17,17,45,21,84,46,92,42,73
20,29,73,23,23,52,52,55,76
0,6,4,9,51,40,61,19,77
40,25,45,45,47,40,41,41,86
2,15,39,13,52,38,80,17,44
0,0,32,61,59,20,59,69,57
5,6,85,50,40,15,84,61,38
7,5,20,59,33,70,42,54,55
10,22,32,12,44,76,63,68,102
27,26,77,18,43,53,40,47,74
4,21,26,31,32,10,61,102,127
1,1,26,24,18,4,59,50,40
15,18,38,72,116,22,8,67,147
3,7,19,22,93,21,22,40,48
8,8,19,8,13,36,67,128,49
10,20,21,18,39,56,5,86,29
8,15,12,6,15,41,49,83,76
0,5,39,14,64,50,37,29,96
8,8,2,17,7,48,37,12,56
17,31,5,70,27,21,125,59,65
13,36,51,18,91,18,63,54,43
0,13,13,33,21,39,68,43,91
0,2,7,30,53,59,46,32,16
11,58,26,9,35,15,15,42,58
23,12,60,8,24,28,45,50,31
9,23,44,23,64,38,54,48,75
26,14,43,53,70,48,59,19,39
9,16,69,38,81,12,71,13,48
4,3,31,18,49,43,71,62,30
0,0,39,23,22,21,53,54,41
15,19,7,27,36,103,117,34,37
0,1,2,16,11,27,16,47,110
17,24,29,9,70,93,59,8,99
19,24,24,63,9,63,50,55,89
9,9,64,59,126,94,61,98,63
0,14,20,68,16,55,105,38,78
0,9,37,10,45,20,100,48,73
25,4,39,3,42,30,36,61,38
39,39,36,25,31,37,158,70,85
3,9,4,23,30,76,32,29,47
3,10,35,59,24,16,64,44,20
4,4,4,63,22,4,14,52,83
0,0,27,8,46,3,42,13,53
0,24,16,15,56,47,65,43,60
2,9,66,3,3,33,45,60,33
0,12,30,9,26,67,22,14,102
4,31,24,13,25,44,65,64,20
0,25,22,19,72,39,48,63,69
32,37,19,78,18,91,97,63,36
14,71,37,27,26,62,35,17,94
8,90,17,42,41,40,28,47,66
0,25,8,38,14,33,29,70,43
0,29,3,45,33,44,51,77,57
22,35,40,60,10,69,37,86,78
4,3,20,74,20,58,60,76,45
10,2,26,105,13,60,36,28,59
0,41,94,32,38,52,110,84,87
8,30,18,46,31,59,111,127,87
11,40,12,87,41,68,86,31,65
22,35,28,14,29,35,23,73,28
2,23,42,51,39,36,50,5,78
0,1,12,39,28,28,16,73,38
5,20,51,22,27,18,27,17,72
0,71,81,86,55,100,38,48,89
4,4,38,44,25,37,41,62,77
3,47,4,13,27,41,34,68,57
0,1,22,9,15,40,177,25,58
0,16,43,32,19,65,78,42,35
4,4,9,18,26,6,46,32,48
38,16,49,41,9,29,107,82,107
33,40,22,29,45,10,95,45,81
0,0,14,40,39,25,39,51,78
0,19,32,20,15,18,58,48,60
2,35,35,33,50,16,26,59,97
0,10,26,22,11,62,70,57,54
1,18,25,139,11,5,92,52,93
8,18,6,5,48,14,26,18,51
55,4,55,40,29,39,10,75,32
20,8,11,11,70,31,37,47,73
5,52,31,25,120,9,27,62,97
0,6,18,43,51,88,87,8,59
0,0,14,30,26,27,4,85,53
35,12,21,21,108,48,54,18,22
0,17,13,27,38,54,77,32,52
3,3,58,26,49,3,46,52,39
0,5,23,23,36,10,28,45,55
0,63,6,7,92,23,33,29,119
10,66,31,28,65,6,19,31,48
19,6,25,24,58,32,14,22,103
0,29,54,57,59,28,74,19,29
33,6,10,39,50,36,32,76,58
0,3,17,79,5,94,64,38,59
8,8,23,27,91,39,45,91,24
9,23,35,17,16,40,43,64,64
11,12,19,28,70,29,51,39,72
2,10,56,27,39,133,30,46,66
0,37,13,38,61,30,2,18,123
2,2,45,73,37,10,42,91,12
1,6,18,62,29,87,41,73,20
0,14,18,32,32,32,51,30,48
16,1,1,49,50,20,19,17,46
26,4,38,26,18,37,14,46,88
0,50,34,20,21,72,60,81,88
18,17,27,49,44,28,13,41,79
10,11,21,34,16,55,19,28,43
6,34,67,56,60,59,36,91,107
6,3,3,13,52,67,69,17,86
9,16,6,11,38,22,34,23,16
1,23,3,50,15,57,13,51,65
10,7,8,12,50,64,36,35,29
35,29,32,6,8,58,16,52,88
10,10,39,18,47,57,36,75,126
5,5,24,21,5,49,8,96,80
2,6,10,24,48,30,39,90,23
14,14,50,71,39,17,44,64,25
12,2,13,47,45,51,60,132,67
1,28,50,24,25,25,50,26,63
31,24,44,11,18,17,64,55,29
6,5,24,66,12,32,58,59,123
20,10,10,54,69,48,78,52,33
3,4,57,57,44,55,58,12,103
34,14,13,68,24,17,83,41,64
5,15,25,28,28,73,21,57,67
1,30,9,25,25,6,75,41,25
18,9,47,86,21,115,27,56,91
0,0,13,47,6,45,30,37,36
7,4,6,55,70,61,16,116,98
0,11,50,10,35,24,25,36,50
0,7,37,42,26,23,33,11,117
0,31,36,36,33,59,109,53,59
12,50,15,48,26,14,38,24,38
0,7,22,27,46,42,69,109,17
9,19,6,33,21,19,41,15,139
13,27,42,33,2,47,41,37,15
20,3,3,13,4,41,29,25,11
19,2,4,19,38,2,42,82,96
0,59,45,96,59,51,28,39,20
36,39,21,27,14,31,67,54,17
23,7,10,56,50,73,69,65,51
7,7,20,70,38,42,68,8,78
0,47,38,32,46,43,25,72,34
8,8,26,55,31,37,36,40,72
0,3,34,30,41,49,43,58,53
14,14,1,4,38,43,86,30,31
9,40,23,42,42,47,113,97,27
5,5,2,73,12,61,53,31,93
8,17,4,56,144,38,79,70,74
37,34,3,27,78,53,67,3,45
16,11,64,41,24,11,61,15,70
37,10,9,19,59,33,29,44,70
0,34,65,31,35,92,28,72,65
26,17,23,25,36,19,55,84,42
0,68,19,71,38,28,23,73,38
0,29,7,7,106,23,46,49,77
0,23,52,18,61,27,90,16,94
9,23,51,21,32,18,48,47,21
34,45,54,55,44,56,82,47,78
0,20,1,6,5,42,21,30,52
0,6,63,14,10,56,50,68,44
1,2,19,63,50,17,39,53,74
32,3,20,34,21,65,49,23,14
0,9,3,34,79,48,59,63,148
0,14,11,35,34,46,65,48,52
0,18,12,2,76,21,9,3,24
0,50,13,23,33,48,34,78,50
27,10,58,6,7,20,25,59,48
0,15,4,25,5,35,28,99,90
16,12,29,52,50,64,16,23,132
40,15,14,51,24,18,105,49,89
0,2,48,27,45,63,79,62,67
0,29,8,58,24,23,61,176,25
0,58,62,22,11,2,38,112,57
0,24,23,9,14,43,80,51,81
0,26,18,5,49,17,24,46,80
42,33,4,72,62,53,31,44,16
1,25,26,4,37,25,39,28,66
2,6,8,2,67,46,51,122,129
19,33,33,4,63,17,58,5,48
7,7,37,32,39,38,77,26,107
3,3,13,13,52,9,88,66,47
35,7,15,78,49,32,6,74,98
0,0,23,22,21,50,7,30,25
4,7,37,51,45,88,40,28,27
29,15,6,41,52,7,85,67,102
31,28,39,36,4,72,63,61,28
0,14,21,9,14,12,18,49,65
0,31,9,10,37,80,28,75,102
0,42,22,17,75,14,33,63,71
15,25,26,72,11,53,89,98,38
9,9,14,17,8,18,65,5,92
5,1,49,48,55,35,31,87,69
1,5,6,12,21,20,25,78,79
6,17,43,6,30,14,30,59,90
41,10,34,37,16,56,31,39,60
40,2,39,2,50,27,60,48,22
0,0,25,12,28,78,77,16,72
18,3,48,58,41,44,57,59,68
12,32,23,23,52,49,52,76,50
4,18,18,11,51,44,69,35,37
0,32,35,52,43,70,20,90,46
19,19,41,14,39,40,33,10,31
0,29,30,38,12,51,50,80,19
0,43,61,44,53,53,17,44,40
10,16,32,23,9,2,118,48,22
7,16,32,16,12,33,99,81,60
2,5,5,16,24,37,64,40,27
5,11,37,58,76,50,12,90,44
16,16,14,3,9,32,60,80,44
0,2,41,26,13,62,41,90,74
7,33,16,26,36,36,41,42,7
8,31,3,47,36,107,32,49,157
44,33,38,60,40,38,92,22,29
36,37,43,31,14,59,48,91,38
17,9,20,25,30,22,107,152,66
1,18,10,33,34,75,67,65,93
0,14,3,5,75,14,68,39,101
12,11,50,33,7,22,54,146,37
18,4,10,16,21,92,64,56,66
15,41,21,25,6,79,18,47,13
51,77,5,52,116,95,12,63,118
13,31,26,39,31,59,42,121,78
0,1,19,49,30,37,29,109,47
22,18,29,40,38,13,37,59,48
25,18,59,36,42,58,55,56,88
7,10,10,16,26,53,61,67,99
0,34,10,57,124,40,19,60,70
23,44,50,3,65,42,7,95,56
13,34,27,54,30,71,74,47,80
45,7,25,13,42,120,50,37,48
23,21,32,21,22,59,95,3,86
0,9,57,31,32,22,49,108,58
2,21,49,57,53,24,35,92,107
15,5,15,35,54,52,89,47,57
0,18,39,26,29,35,44,34,59
20,16,21,45,37,50,105,41,57
28,3,16,16,26,118,49,54,18
8,41,27,27,44,40,43,46,69
0,0,81,31,41,42,20,42,58
24,8,14,6,54,26,72,50,32
33,4,3,23,55,54,48,85,35
10,27,27,78,33,23,38,141,30
15,19,18,24,1,82,31,51,75
5,8,8,45,8,64,40,3,85
0,16,54,12,25,49,58,50,22
12,12,6,6,23,14,55,38,47
6,20,20,25,11,46,34,35,84
0,1,81,21,57,83,26,35,86
9,13,17,30,75,33,21,64,90
8,18,32,60,76,37,66,94,15
0,3,33,53,26,22,13,71,121
18,14,14,46,33,70,25,83,50
35,35,8,2,37,98,49,46,19
2,2,32,11,60,40,13,50,80
30,57,9,60,47,65,40,52,51
5,4,11,31,49,53,73,17,102
18,31,6,9,44,27,68,57,52
3,51,21,33,55,118,75,22,36
10,9,12,45,25,26,140,72,139
12,17,7,40,8,61,9,59,64
6,12,10,36,19,101,53,27,18
0,11,22,24,35,36,77,47,74
6,3,57,35,28,82,96,109,33
0,19,27,28,35,60,52,60,65
7,49,43,80,25,38,19,60,96
5,18,2,47,33,78,78,69,74
4,21,59,7,51,61,13,52,40
0,7,11,38,23,77,61,73,25
18,5,2,41,44,41,21,32,42
11,51,18,57,7,56,96,25,63
3,7,7,7,97,62,82,36,36
3,9,18,20,70,11,37,37,52
2,9,10,3,60,99,69,27,15
12,1,70,30,30,49,37,29,69
0,29,56,16,11,47,21,80,149
19,8,75,29,26,29,55,94,19
0,0,0,49,92,68,29,42,40
31,13,35,31,60,65,32,43,130
9,9,35,25,44,44,46,50,92
0,11,60,43,36,26,79,24,99
9,9,68,10,50,60,25,53,34
0,15,19,20,55,58,16,77,37
0,28,24,33,28,15,100,56,33
5,22,65,10,31,54,32,7,17
14,14,11,23,6,60,42,48,155
24,7,12,64,64,52,27,25,9
0,27,42,45,42,24,44,33,48
28,28,9,51,40,45,32,85,106
11,49,36,40,40,87,106,65,75
12,6,2,32,27,98,68,138,31
50,17,40,32,38,29,14,37,56
0,0,26,24,39,57,29,27,51
6,14,20,51,36,70,14,28,59
0,7,28,19,50,22,3,63,35
0,18,45,48,18,41,75,90,135
28,38,22,80,17,23,49,50,122
10,39,13,43,30,89,85,90,21
5,8,9,32,12,49,53,76,29
23,21,21,14,54,69,32,40,54
13,24,4,63,76,20,36,51,103
15,33,42,9,30,73,51,48,55
3,8,53,26,30,40,34,23,88
23,10,17,34,107,15,82,38,63
23,9,24,16,56,44,51,67,55
18,3,21,10,81,42,9,64,41
0,0,51,111,69,40,48,42,102
9,27,32,32,49,53,46,56,139
0,14,31,103,51,30,54,95,83
25,44,44,44,45,42,88,55,135
5,9,3,8,76,35,104,86,64
0,5,31,18,96,55,47,77,97
2,2,28,18,36,28,80,50,78
2,21,17,13,21,34,14,103,18
5,22,9,15,73,26,44,55,71
2,2,19,15,25,71,45,76,45
0,32,39,45,18,124,75,63,52
13,56,6,37,24,60,90,101,61
2,7,11,30,9,2,49,1,22
9,39,9,49,25,61,11,41,97
26,24,37,57,22,69,77,44,74
19,37,3,52,108,99,104,10,40
0,0,63,25,33,72,61,66,94
12,27,26,50,28,11,54,51,83
17,28,6,47,23,99,52,48,136
5,19,33,42,23,8,43,52,56
3,6,52,102,52,21,18,59,62
0,26,24,11,36,14,78,65,46
21,49,11,29,25,71,18,29,25
15,27,9,11,20,47,21,93,79
19,13,13,23,47,45,9,101,38
5,2,2,46,36,34,38,48,27
0,6,7,33,8,40,48,80,37
0,47,55,44,78,41,22,17,72
18,25,4,23,33,78,31,36,34
38,31,17,12,20,11,27,88,108
17,12,26,12,57,27,29,60,25
13,15,13,15,34,35,15,58,51
18,9,38,36,37,37,17,71,89
14,21,28,66,59,22,36,38,49
0,0,15,33,84,67,20,70,90
5,19,24,38,30,19,72,39,50
0,26,19,71,54,24,74,127,52
0,5,5,44,45,17,46,46,103
