"A","B","C","D","E","F","G","H","I"
0,0,20,1,10,32,32,30,19
3,5,0,8,16,8,19,17,19
8,3,15,12,14,18,15,32,8
2,14,14,11,17,13,32,20,19
2,0,30,6,14,18,33,13,9
2,1,10,0,39,16,6,24,2
0,8,5,4,5,10,12,26,33
0,5,19,2,18,21,31,21,7
1,4,5,6,10,10,19,24,15
0,0,4,2,17,8,21,22,6
0,6,15,5,7,17,13,26,3
0,14,14,7,15,15,7,12,19
2,18,5,6,7,15,14,21,4
12,3,4,9,18,32,13,20,22
4,6,5,10,12,7,27,11,27
0,10,6,9,34,20,28,7,17
0,13,7,15,10,21,6,42,20
0,7,1,13,10,20,10,15,16
0,10,8,0,12,23,4,33,12
0,8,8,11,12,46,18,14,17
2,4,11,5,8,18,13,23,32
0,3,2,14,18,18,10,21,27
5,8,10,0,13,11,11,12,21
2,5,12,4,33,13,14,17,33
4,4,7,16,16,10,18,9,17
1,4,9,5,18,10,16,23,20
5,9,19,18,14,13,13,14,18
1,14,1,12,2,20,21,16,27
15,13,16,5,11,6,21,23,42
13,0,4,15,18,21,8,41,11
3,6,12,6,4,8,16,18,15
8,6,6,21,12,9,38,12,34
10,1,7,13,2,7,12,26,22
8,5,11,5,11,25,24,7,7
6,5,5,12,17,16,0,11,12
3,18,5,10,6,17,27,29,39
0,12,3,4,19,14,29,8,8
2,14,15,3,16,14,17,23,21
0,14,0,4,8,0,7,8,11
0,22,6,3,19,7,12,23,6
1,11,9,4,2,34,15,19,7
5,1,4,10,21,20,8,19,9
9,9,15,17,41,21,17,19,20
1,12,20,1,8,18,25,15,11
0,11,3,19,12,16,18,19,12
0,20,6,31,21,27,19,18,31
3,12,9,17,4,2,2,30,28
0,10,1,19,16,25,15,15,16
2,8,3,18,6,9,22,26,30
1,5,0,2,19,22,26,25,14
15,7,14,2,25,18,19,16,28
0,0,1,8,24,19,25,31,20
4,6,1,10,8,8,12,13,30
0,6,13,23,11,16,4,15,23
0,8,11,11,9,9,9,19,10
0,15,23,7,33,2,23,16,24
0,9,4,14,28,18,7,14,13
0,8,10,5,3,26,35,14,24
0,5,5,14,1,13,40,19,38
14,10,11,7,20,16,18,12,26
0,2,8,2,9,35,5,16,32
10,4,3,4,10,10,12,7,13
3,6,8,30,12,5,16,9,41
0,2,22,17,22,7,2,4,15
14,17,12,4,13,36,36,9,9
6,4,10,18,15,6,9,3,16
0,13,8,4,21,4,13,24,10
3,0,8,2,3,7,8,23,17
0,10,17,3,2,20,15,14,9
3,9,15,14,10,9,15,16,42
6,8,21,20,7,17,4,22,21
0,7,7,9,15,2,18,32,24
0,8,10,23,9,19,19,33,18
2,13,10,3,16,21,9,16,23
5,4,8,12,18,28,20,12,7
0,0,5,6,3,13,30,16,34
0,3,11,8,10,5,20,22,26
1,8,5,23,7,11,14,42,8
0,6,17,11,9,21,16,28,27
5,5,8,9,10,18,24,24,27
13,2,13,22,11,5,17,11,26
0,0,11,15,12,13,14,35,5
0,9,13,25,9,12,18,16,7
1,15,9,8,2,27,28,16,15
7,6,7,12,13,6,18,5,27
0,3,7,9,13,25,14,15,23
4,1,10,28,21,8,7,5,13
0,8,0,2,25,12,6,17,11
2,0,3,5,11,14,22,18,31
4,7,25,16,8,19,5,17,43
2,5,12,8,13,11,17,24,38
3,8,14,18,14,12,9,9,33
1,9,12,2,16,20,28,22,5
21,6,4,8,14,3,13,9,25
0,2,6,1,4,10,19,6,24
14,9,1,7,13,11,13,27,13
2,4,16,6,19,13,11,13,16
3,9,14,24,13,12,37,31,25
0,6,17,16,5,15,1,16,8
0,2,5,8,12,6,33,17,27
2,0,2,7,26,13,3,20,20
0,24,3,6,12,5,19,17,16
2,3,0,16,8,18,26,24,26
3,6,6,0,6,7,21,17,16
3,3,19,26,21,11,14,13,34
0,8,7,6,9,4,25,16,15
0,9,2,4,0,17,15,21,20
1,6,0,16,8,9,12,6,7
0,5,16,4,14,16,19,41,9
4,11,14,1,8,22,34,35,18
0,0,4,28,18,14,17,16,13
0,3,17,9,23,9,15,18,20
1,6,7,9,6,11,26,16,6
10,2,19,2,25,24,7,16,12
3,17,15,9,0,21,10,17,11
3,4,8,4,16,5,26,13,25
12,0,19,2,23,17,10,23,28
0,8,16,6,13,27,20,24,43
5,19,12,4,5,6,11,11,12
3,8,8,14,18,9,17,25,23
0,10,1,14,3,6,12,26,33
1,4,7,20,12,10,20,11,22
0,4,3,6,11,16,4,17,36
0,0,3,5,13,22,21,25,18
4,3,9,21,4,13,5,16,34
0,9,8,3,5,25,19,10,26
1,9,3,4,19,18,10,16,35
1,7,0,11,13,39,8,13,16
7,13,6,10,2,13,24,11,15
9,6,17,9,2,0,9,12,22
3,19,3,6,2,20,20,11,10
6,8,9,2,15,15,14,11,27
1,2,17,7,11,14,17,18,18
6,6,11,10,17,20,18,12,36
0,1,19,3,11,10,30,8,18
5,4,8,6,11,25,12,10,21
0,11,14,0,14,26,38,13,29
0,5,0,6,26,3,11,14,22
10,9,5,16,16,18,10,13,10
7,13,4,24,5,17,8,8,7
0,10,8,8,6,10,8,18,15
0,3,7,0,10,17,9,19,14
5,6,8,9,11,31,14,11,32
1,2,2,13,11,18,18,23,24
21,0,11,8,6,11,20,40,22
0,28,3,7,3,16,27,42,21
0,6,6,13,8,22,6,5,12
0,11,2,23,19,29,14,8,12
0,8,4,23,17,26,15,31,32
0,4,3,21,5,16,29,20,11
7,8,3,5,13,23,18,24,41
10,9,1,25,4,15,17,17,12
5,11,12,26,4,16,28,13,23
0,4,11,18,13,4,25,14,29
3,9,4,7,11,8,13,18,14
3,0,12,15,7,17,16,23,24
0,8,2,7,5,28,7,17,10
2,5,27,27,13,12,22,31,40
0,23,10,3,28,8,17,26,29
5,3,17,5,5,7,18,9,24
7,15,7,7,42,14,7,28,37
9,6,12,21,23,11,4,15,18
