"A","B","C","D","E","F","G","H","I"
0,46,18,24,53,43,44,53,76
1,13,6,37,41,15,26,65,34
11,34,12,18,24,61,31,29,81
3,19,7,30,13,29,66,36,52
0,19,6,53,40,35,35,52,35
14,26,24,33,34,76,39,31,24
17,6,33,26,24,67,41,65,61
13,29,26,18,73,45,32,15,58
0,26,34,44,40,28,54,25,48
0,4,19,26,32,48,65,33,78
4,34,14,36,54,88,35,68,56
5,29,16,30,57,30,73,20,57
8,0,34,52,35,58,41,93,76
0,27,8,43,15,32,31,56,38
18,28,40,40,29,31,78,50,49
5,11,22,63,39,32,51,72,99
0,25,26,29,56,15,61,36,59
8,13,16,14,56,37,55,73,83
0,12,22,8,46,36,80,65,61
3,24,42,18,54,62,52,59,36
1,12,22,46,46,42,31,31,60
18,23,21,14,26,40,45,70,38
10,7,58,32,57,48,72,31,38
2,33,59,17,63,49,58,83,70
9,25,23,20,33,54,69,79,61
25,28,24,23,9,41,51,63,99
1,11,17,32,33,56,73,59,75
14,12,33,35,32,44,31,67,55
17,46,26,25,85,35,42,86,88
4,69,25,12,19,24,56,88,36
0,24,18,14,39,20,28,29,78
6,50,25,29,54,19,24,87,60
17,19,15,25,46,24,63,32,27
12,19,23,31,42,52,54,37,39
5,8,19,31,31,36,32,51,43
2,16,12,36,67,49,28,32,57
0,8,36,18,45,41,56,31,50
2,19,26,19,12,46,67,52,36
7,26,31,36,27,31,55,92,71
10,5,48,28,45,56,60,39,60
18,30,38,78,23,26,22,50,35
6,19,26,42,30,14,45,76,122
15,22,7,48,28,46,39,41,41
31,29,23,67,50,53,17,32,72
5,18,9,61,12,26,43,83,53
18,42,1,42,25,38,41,91,91
10,5,23,24,41,79,43,76,55
13,22,31,8,39,44,47,48,61
4,25,22,17,24,43,122,52,78
3,29,25,45,46,44,56,40,50
0,22,33,52,31,25,43,43,57
3,4,21,42,86,46,67,56,36
4,10,54,3,40,47,46,108,75
15,3,69,15,26,24,68,88,56
16,16,14,29,22,16,25,35,58
9,69,17,13,30,48,49,53,100
12,12,19,36,30,50,57,50,44
18,20,3,18,46,77,31,28,45
21,16,31,32,28,39,27,78,61
2,3,16,56,35,51,20,51,78
9,18,1,59,61,22,48,96,50
15,22,63,28,68,31,35,82,98
4,31,25,54,48,19,56,69,24
18,27,41,57,14,32,114,22,73
11,9,18,30,28,26,68,41,61
7,17,24,23,49,54,29,34,40
19,9,20,29,23,20,29,31,75
3,20,33,40,21,73,68,61,42
1,35,16,15,79,22,52,37,52
8,14,18,51,30,38,69,42,45
15,1,20,9,15,21,65,65,42
17,20,20,20,40,36,27,5,78
25,9,11,22,20,20,19,47,46
1,37,10,42,28,9,33,42,75
7,15,28,50,58,22,39,59,41
6,32,30,13,21,30,54,115,57
5,26,19,33,49,34,38,56,75
2,24,18,23,16,50,68,34,45
14,8,19,37,20,59,31,50,60
0,25,45,21,43,31,28,40,42
0,4,18,50,50,57,56,41,49
0,25,20,34,63,27,41,59,69
5,13,44,44,26,47,51,61,63
20,18,25,33,47,60,41,35,44
7,17,3,48,67,39,50,50,52
8,14,44,20,50,43,39,89,21
11,7,42,12,24,48,45,22,53
3,18,4,40,27,19,31,36,82
9,3,0,28,38,44,40,41,62
15,4,35,31,19,37,37,60,58
19,6,11,30,44,43,65,32,84
0,34,0,26,29,35,24,26,49
29,20,27,14,47,27,38,44,50
0,9,10,43,37,63,82,109,61
5,10,34,42,70,34,26,46,53
3,38,25,45,39,78,55,71,46
0,41,34,26,39,37,32,49,65
5,30,18,58,34,31,63,47,55
