"A","B","C","D","E","F","G","H","I"
9,9,9,43,34,25,49,16,41
0,11,11,4,50,8,16,22,9
2,12,24,33,21,32,13,72,51
3,17,11,14,1,21,22,24,39
4,6,10,1,5,15,15,22,20
0,36,37,19,15,23,49,7,46
0,2,2,15,70,31,22,13,34
10,1,1,17,29,55,34,51,47
36,8,5,3,5,7,39,42,56
11,7,5,15,13,41,43,27,15
0,14,9,16,37,27,46,37,11
0,0,8,14,12,4,28,46,19
0,15,15,3,21,45,55,11,18
15,26,19,30,25,18,27,58,58
3,11,6,29,23,19,5,38,9
0,0,4,9,9,62,53,31,28
12,12,15,15,24,40,22,15,50
22,21,2,21,27,17,12,60,45
3,12,15,11,13,41,39,98,37
0,25,17,17,6,38,21,26,75
6,41,7,22,26,39,19,33,49
0,1,1,22,11,36,35,20,18
3,3,6,15,20,10,18,28,51
4,4,5,19,16,41,2,58,50
0,0,9,11,12,19,38,53,21
0,17,12,2,7,31,26,19,25
12,15,31,2,21,14,2,20,48
3,8,11,10,16,27,37,44,54
2,7,25,49,36,18,20,20,38
0,6,31,19,22,9,18,61,42
3,3,12,42,45,9,18,40,50
1,5,11,29,10,13,35,19,48
0,23,23,7,32,38,29,13,14
4,2,5,37,17,12,17,18,38
0,23,24,19,17,44,31,10,41
28,10,40,21,50,10,3,32,36
0,0,12,35,52,7,28,25,52
3,5,21,35,17,36,83,26,64
2,4,3,15,11,20,45,37,15
8,14,2,7,25,66,6,39,42
0,4,4,4,59,14,34,39,19
11,3,19,2,6,33,80,6,28
0,4,19,22,27,31,26,43,38
9,8,6,1,59,11,19,34,22
5,9,8,6,51,28,50,31,26
0,16,16,5,16,15,31,26,42
1,10,13,61,18,46,38,22,36
1,39,22,30,27,22,34,54,17
14,12,24,24,17,33,12,63,44
1,1,9,21,29,25,11,7,63
15,2,26,30,30,18,30,14,46
8,8,27,10,10,19,48,13,46
0,32,8,8,3,53,11,24,20
10,5,1,1,29,29,17,62,52
0,15,32,27,15,22,45,30,18
0,11,15,22,37,18,33,31,36
5,4,38,16,11,65,42,17,10
0,29,16,11,18,35,33,36,40
0,2,30,9,26,22,78,46,38
0,19,10,9,29,24,3,18,68
6,19,5,28,24,14,33,9,22
0,2,4,9,29,3,2,8,63
11,20,17,25,43,1,18,32,25
7,5,13,7,33,36,44,64,58
0,5,1,16,23,62,13,45,46
0,4,9,56,33,17,35,72,12
0,9,15,9,17,29,37,68,18
0,0,10,29,13,15,24,57,20
15,60,17,31,11,9,34,42,88
2,18,29,26,30,15,19,40,36
12,5,22,57,57,21,40,30,33
0,29,20,20,30,10,39,66,9
0,30,26,8,7,19,6,48,78
0,12,33,9,12,16,26,16,43
5,8,43,29,20,50,11,41,17
0,2,20,52,25,47,18,21,35
0,12,12,7,20,46,37,28,40
12,12,25,9,31,13,33,33,9
0,9,9,35,8,23,21,38,33
0,25,44,11,33,40,37,41,29
6,14,34,4,23,9,1,55,12
0,16,32,5,15,50,46,18,33
6,6,5,4,60,26,4,11,42
0,8,8,22,57,24,14,86,24
13,3,8,2,29,18,21,64,49
2,4,22,6,29,28,28,14,17
0,11,7,14,35,41,9,40,80
4,11,26,9,9,17,13,18,55
16,16,16,35,41,25,19,19,37
3,12,21,4,14,32,25,38,26
0,18,18,10,5,26,49,60,26
0,9,7,25,21,28,38,38,88
27,7,30,42,5,9,30,40,48
0,13,7,4,37,33,40,19,39
4,3,3,4,31,12,21,70,46
0,10,19,3,4,47,25,32,49
0,5,15,53,27,31,47,13,14
3,13,20,16,17,28,39,2,35
0,18,4,46,19,24,14,45,54
0,35,35,11,19,42,26,5,38
2,17,19,3,5,41,10,20,52
0,4,14,20,25,7,10,9,45
8,8,24,7,7,14,3,20,44
0,12,28,8,4,22,42,45,11
12,7,7,2,58,27,13,37,51
0,0,0,13,18,11,47,41,18
5,13,8,29,23,45,23,27,80
0,7,8,28,49,3,31,34,26
0,2,22,30,16,15,15,18,42
0,36,17,5,5,36,9,11,27
2,2,8,50,39,24,45,50,16
5,1,9,25,38,38,4,26,21
7,1,42,15,22,22,34,11,65
7,16,8,34,25,29,17,20,3
0,10,15,13,38,15,3,55,26
2,8,21,17,13,13,43,14,72
0,0,25,28,50,30,39,22,28
0,2,12,2,12,37,22,6,64
3,4,19,26,36,7,6,12,21
0,1,18,39,20,37,57,31,18
0,1,18,34,13,40,37,64,30
21,19,8,23,19,16,47,41,20
15,11,23,10,24,10,16,61,30
0,9,16,19,36,17,39,39,35
7,2,9,46,40,4,18,13,17
0,12,9,18,34,22,32,27,47
0,6,22,22,31,37,5,25,42
0,0,4,34,60,12,8,2,54
0,10,18,13,14,9,19,22,33
0,5,28,6,42,2,61,7,21
4,4,16,21,23,14,18,40,22
3,3,3,13,11,46,20,20,59
24,5,11,13,21,24,43,65,14
0,8,12,28,12,67,24,44,17
7,7,29,29,12,31,29,57,42
22,30,3,20,50,17,5,55,42
0,15,6,24,4,33,27,21,26
12,12,37,36,60,9,71,14,51
13,6,39,5,18,30,26,56,48
16,4,17,25,14,42,39,14,5
5,5,8,21,17,25,13,45,40
0,0,28,22,1,65,1,37,38
4,4,2,36,21,21,22,39,30
5,13,33,30,8,31,5,41,51
0,25,3,15,2,27,35,30,25
0,1,35,3,29,78,8,23,18
0,4,7,52,13,39,53,23,30
1,27,10,32,15,28,31,47,85
12,7,18,33,4,36,2,38,64
16,2,6,16,18,29,8,15,29
1,23,29,12,33,34,15,15,7
16,14,30,10,23,50,41,28,62
0,11,15,14,25,25,54,13,50
0,0,2,13,24,11,74,44,44
2,19,10,36,24,26,27,15,25
0,7,24,2,38,31,32,12,42
20,3,26,15,8,18,40,29,39
0,1,40,17,22,10,50,22,34
1,4,17,22,29,13,45,99,25
0,5,35,5,22,30,42,75,22
6,20,22,10,13,23,41,28,17
14,5,3,12,25,13,35,37,13
0,14,17,20,17,3,33,29,44
0,12,21,18,23,37,21,20,20
1,16,25,24,57,25,11,42,11
2,16,6,32,22,13,35,3,22
4,10,14,44,33,49,27,28,19
0,7,15,5,58,28,14,70,7
0,1,11,13,11,12,12,9,14
6,6,7,7,36,32,84,4,55
2,2,12,14,11,41,50,17,30
0,5,5,1,43,43,45,31,57
23,17,35,2,41,13,36,36,15
