"A","B","C","D","E","F","G","H","I"
6,21,40,32,87,13,72,53,89
28,28,21,20,16,33,71,52,87
20,16,6,35,36,21,66,108,161
0,34,9,4,16,54,61,113,188
0,6,19,37,64,50,48,51,149
29,30,62,18,94,32,72,117,117
0,5,29,55,55,63,47,79,70
19,6,3,20,46,3,64,56,79
15,17,24,38,71,60,81,81,90
0,50,13,40,28,47,123,69,71
0,11,2,23,28,58,59,40,170
0,57,26,31,101,37,22,38,76
10,13,51,42,30,97,95,75,42
0,0,26,9,66,140,37,128,59
0,19,25,41,60,43,5,99,131
0,15,26,48,45,43,43,42,110
5,4,26,74,84,77,41,45,92
16,29,2,2,40,35,57,112,30
16,31,25,27,82,39,37,63,120
8,4,25,35,7,56,114,101,49
0,25,41,18,14,30,74,80,57
21,4,4,80,30,102,28,35,96
2,11,35,74,22,20,17,45,119
6,4,4,47,60,9,97,73,78
0,52,28,52,92,92,113,117,62
2,46,4,31,28,46,125,149,91
4,23,11,58,30,8,7,61,37
6,10,15,34,2,47,103,178,45
23,1,6,20,32,70,13,109,70
11,24,5,8,56,85,100,25,117
0,16,5,33,86,46,161,73,175
12,25,29,67,45,11,47,141,112
15,6,44,19,46,117,78,31,55
0,39,24,17,83,22,71,101,72
0,16,25,66,48,69,75,62,127
3,2,28,135,61,77,40,107,75
15,7,21,19,75,89,77,60,118
11,8,5,38,19,66,71,151,108
0,13,20,25,78,34,90,95,133
11,5,35,77,41,100,136,144,48
13,2,58,38,60,19,118,75,41
0,5,4,30,50,67,59,78,92
0,11,3,21,4,87,85,95,118
0,0,18,50,22,34,142,65,36
3,4,37,40,39,61,49,67,75
35,35,31,68,38,179,101,117,86
4,10,9,41,40,50,68,113,63
4,16,45,80,4,78,90,44,50
8,1,80,57,44,34,52,35,70
12,4,4,5,51,53,78,74,104
0,13,17,52,10,13,48,66,95
0,0,22,49,1,63,47,31,91
8,8,37,43,57,42,107,71,124
0,0,24,61,72,34,106,9,137
0,26,21,31,42,13,153,1,55
11,21,20,34,45,25,74,47,105
55,25,54,43,30,33,60,63,68
6,12,13,7,17,25,56,45,96
1,13,1,31,82,82,68,39,87
27,2,16,18,90,38,61,63,36
0,20,15,53,42,106,135,63,22
2,50,7,83,31,79,43,19,69
4,4,47,43,25,83,12,91,103
4,60,60,100,92,87,85,21,69
7,27,27,105,41,6,111,77,176
0,15,56,39,67,114,46,67,152
0,13,11,40,56,66,44,15,63
19,33,47,46,39,126,119,117,33
17,9,29,10,48,57,57,89,90
8,36,1,14,25,90,39,53,64
9,6,1,43,38,102,83,185,98
17,11,44,50,24,71,68,97,99
0,18,18,18,18,53,57,31,94
0,4,41,42,42,27,34,104,76
5,5,16,66,41,93,71,48,140
3,3,55,19,25,13,80,113,132
9,11,15,28,51,57,144,81,46
9,19,40,10,73,38,62,84,86
0,27,47,32,80,26,65,99,76
0,51,41,75,83,144,85,78,113
0,19,17,41,42,18,80,19,43
29,3,38,83,38,118,59,83,99
0,22,31,31,28,19,72,56,117
3,13,29,47,59,64,69,56,42
14,10,42,43,30,78,29,67,21
0,45,45,34,11,110,37,77,184
4,19,8,9,99,8,11,43,211
0,9,19,100,32,71,86,105,184
0,35,13,18,28,103,45,44,149
8,35,16,59,64,30,33,78,93
9,8,41,53,84,76,31,91,152
0,0,13,27,28,30,71,113,94
4,4,40,63,32,56,46,115,151
0,0,51,45,26,50,2,18,115
11,30,30,30,46,21,28,109,74
26,27,2,22,70,38,16,141,52
1,27,21,34,51,39,26,18,22
24,4,30,16,8,99,47,59,109
5,17,4,96,24,81,46,85,28
0,24,14,89,25,38,66,99,121
0,32,94,28,86,25,23,33,154
0,16,2,14,50,9,73,97,49
8,3,9,23,45,97,78,108,106
10,10,8,44,32,102,106,93,49
2,25,33,33,42,28,97,50,175
3,8,61,16,24,17,76,82,126
0,18,28,51,40,120,38,176,181
4,28,25,86,3,97,80,79,65
3,27,23,73,31,162,127,26,140
9,34,38,89,82,84,124,57,42
0,16,38,31,91,58,93,107,106
3,20,37,53,92,31,116,73,95
7,7,13,8,110,28,77,96,93
20,25,25,25,26,76,49,9,101
12,6,13,44,41,14,96,52,71
0,0,29,18,81,56,57,83,114
11,10,29,25,18,64,12,87,129
5,30,3,7,78,72,39,48,89
3,27,27,29,78,2,68,59,134
7,15,32,38,151,62,104,62,155
39,22,7,21,7,68,52,56,35
11,15,51,62,27,36,32,59,120
37,11,29,62,117,37,51,56,95
9,1,33,36,25,38,18,29,56
2,4,49,17,31,82,95,78,91
12,12,26,23,9,31,102,65,85
13,11,35,93,59,97,65,56,77
17,13,29,56,37,44,114,40,73
0,10,25,53,32,46,14,37,41
8,8,7,7,48,76,16,95,84
4,6,2,59,68,79,23,114,144
12,30,88,30,14,139,60,13,91
