"A","B","C","D","E","F","G","H","I"
0,7,23,23,85,79,134,51,136
7,7,48,29,13,30,96,46,231
18,23,12,50,65,35,26,240,37
0,0,66,158,3,144,264,249,87
11,2,17,32,82,136,82,100,13
44,7,31,26,48,56,64,141,177
0,16,2,63,122,46,143,91,39
26,26,31,93,41,66,76,156,93
2,31,73,62,32,138,25,134,37
5,9,40,40,46,10,141,62,115
0,11,78,47,62,120,75,93,97
0,93,130,66,83,94,197,29,107
22,33,55,49,77,66,112,38,68
8,25,29,51,49,50,66,88,106
36,61,80,55,131,111,60,72,171
0,22,23,50,64,61,112,107,131
0,25,72,12,39,154,75,120,177
15,15,33,40,149,120,58,86,168
0,4,65,94,103,11,81,64,77
0,36,7,11,66,66,119,146,43
37,14,64,28,47,83,124,84,46
27,10,4,52,50,52,219,34,201
0,0,4,36,126,70,113,120,242
11,46,44,48,52,3,158,127,136
9,43,43,86,16,74,53,39,96
42,73,64,63,42,72,67,51,143
22,110,28,62,37,159,146,23,55
12,32,42,20,51,67,184,213,126
57,38,11,76,137,188,169,164,99
4,8,41,31,125,89,71,157,140
50,5,5,12,97,46,50,165,48
5,1,76,5,24,104,100,167,83
43,7,31,36,41,103,102,91,135
8,8,30,50,186,147,138,122,231
0,28,32,55,65,52,82,51,36
0,47,21,7,70,37,65,229,141
4,29,18,92,25,13,127,140,190
15,8,44,90,75,65,154,85,123
32,2,76,62,21,76,49,115,42
25,35,75,19,35,94,88,112,118
27,23,46,7,134,75,40,123,199
0,25,37,49,57,13,75,140,137
13,13,109,30,93,36,74,58,151
0,15,99,84,97,14,134,48,44
1,28,71,89,103,31,134,202,234
0,14,6,62,40,74,139,38,159
19,49,40,61,57,73,94,127,114
0,8,20,94,2,139,64,110,104
3,3,125,69,58,92,118,160,171
0,0,70,3,60,34,74,178,187
8,13,15,37,81,119,81,118,169
13,30,10,136,94,45,163,117,60
0,13,37,13,57,102,48,113,173
85,49,8,135,128,47,66,85,129
24,24,55,69,52,136,77,78,119
28,37,69,76,126,26,99,152,19
40,3,36,119,11,62,101,122,112
0,8,8,46,61,108,77,152,176
0,6,18,70,86,121,117,85,99
12,7,58,32,35,53,19,39,94
0,39,20,22,121,120,89,92,75
9,18,20,59,36,77,103,141,136
0,29,61,112,68,46,53,122,179
4,6,42,10,32,46,86,129,55
16,125,16,4,118,118,200,125,253
47,25,60,12,44,59,47,96,137
15,5,3,5,22,105,70,167,50
0,31,31,44,67,26,53,64,118
16,10,67,42,63,32,97,63,138
8,25,36,15,140,114,51,178,137
13,53,18,101,23,49,100,139,220
50,11,32,19,65,61,115,107,95
0,11,22,110,67,174,71,109,155
21,26,38,38,63,76,76,86,121
47,47,23,105,31,83,116,53,61
5,43,51,6,168,106,153,202,146
23,81,7,50,68,58,91,79,77
9,16,16,41,143,56,132,227,81
0,15,61,19,46,77,65,177,67
0,0,19,29,35,103,93,121,93
23,22,45,13,109,78,96,23,143
3,3,10,56,49,63,83,58,80
0,0,74,25,69,48,53,234,109
3,28,14,55,33,35,139,84,44
0,0,37,22,97,96,72,68,73
0,51,43,28,12,44,23,112,77
0,28,42,59,44,54,82,184,110
0,23,23,44,25,24,60,103,144
3,3,37,11,72,121,141,42,126
5,15,44,8,71,55,126,75,102
0,57,42,32,59,77,54,183,88
10,4,8,64,24,71,200,67,122
13,13,22,18,48,58,43,64,170
2,22,10,93,64,73,79,94,178
8,8,39,34,160,151,136,102,151
3,3,12,19,102,12,140,79,81
9,35,86,41,104,74,46,92,121
4,75,36,40,48,79,143,98,74
70,5,39,67,118,183,75,65,114
2,53,36,35,56,38,57,156,255
0,12,29,103,97,126,40,110,142
12,3,4,33,34,39,43,166,107
3,36,76,5,104,21,105,50,109
42,9,33,52,122,67,65,201,174
33,25,46,13,41,60,117,138,146
0,7,90,67,93,112,98,74,78
0,93,5,60,49,44,63,79,5
20,39,24,67,83,25,61,99,51
1,16,8,36,135,61,83,154,138
0,12,114,71,36,80,42,128,118
